chromsome	start	end	sgRNA	quality	strand	cutsite	search_start	search_end
chr14	31255162	31255222	Bap1_sg1	20	+	31255192	31255189	31255195
chr14	73262510	73262570	Rb1_sg4	20	-	73262540	73262537	73262543
chr14	73280172	73280232	Rb1_sg2	20	-	73280202	73280199	73280205
chr14	73280214	73280274	Rb1_sg1	20	+	73280244	73280241	73280247
chr14	73282859	73282919	Rb1_sg3	20	+	73282889	73282886	73282892
chr14	73298140	73298200	Rb1_sg5	20	-	73298170	73298167	73298173
chr14	75309653	75309713	Zc3h13_sg5	20	-	75309683	75309680	75309686
chr14	75315890	75315950	Zc3h13_sg3	20	-	75315920	75315917	75315923
chr14	75316004	75316064	Zc3h13_sg4	20	+	75316034	75316031	75316037
chr14	75321663	75321723	Zc3h13_sg2	20	-	75321693	75321690	75321696
chr14	75321717	75321777	Zc3h13_sg1	20	-	75321747	75321744	75321750
chr15	81616011	81616071	Ep300_sg4	20	+	81616041	81616038	81616044
chr15	81616020	81616080	Ep300_sg5	20	+	81616050	81616047	81616053
chr15	81616718	81616778	Ep300_sg2	20	+	81616748	81616745	81616751
chr15	81616741	81616801	Ep300_sg3	20	-	81616771	81616768	81616774
chr15	81620053	81620113	Ep300_sg1	20	+	81620083	81620080	81620086
chr15	96361543	96361603	Arid2_sg5	20	+	96361573	96361570	96361576
chr15	96361843	96361903	Arid2_sg3	20	+	96361873	96361870	96361876
chr15	96361880	96361940	Arid2_sg4	20	-	96361910	96361907	96361913
chr15	96362281	96362341	Arid2_sg1	20	-	96362311	96362308	96362314
chr15	96362303	96362363	Arid2_sg2	20	-	96362333	96362330	96362336
chr15	98864742	98864802	Mll2_sg2	20	+	98864772	98864769	98864775
chr15	98864755	98864815	Mll2_sg1	20	-	98864785	98864782	98864788
chr15	98864939	98864999	Mll2_sg4	20	+	98864969	98864966	98864972
chr15	98864973	98865033	Mll2_sg3	20	-	98865003	98865000	98865006
chr15	98865273	98865333	Mll2_sg5	20	+	98865303	98865300	98865306
chr16	92605660	92605720	Runx1_sg2	20	+	92605690	92605687	92605693
chr16	92605671	92605731	Runx1_sg1	20	+	92605701	92605698	92605704
chr16	92644197	92644257	Runx1_sg4	20	+	92644227	92644224	92644230
chr16	92644329	92644389	Runx1_sg3	20	+	92644359	92644356	92644362
chr16	92688934	92688994	Runx1_sg5	20	-	92688964	92688961	92688967
chr17	5264027	5264087	Arid1b_sg5	20	-	5264057	5264054	5264060
chr17	5279204	5279264	Arid1b_sg4	20	-	5279234	5279231	5279237
chr17	5279257	5279317	Arid1b_sg3	20	-	5279287	5279284	5279290
chr17	5290946	5291006	Arid1b_sg2	20	-	5290976	5290973	5290979
chr17	5290974	5291034	Arid1b_sg1	20	+	5291004	5291001	5291007
chr17	29098487	29098547	Cdkn1a_sg5	20	+	29098517	29098514	29098520
chr17	29098760	29098820	Cdkn1a_sg3	20	+	29098790	29098787	29098793
chr17	29098771	29098831	Cdkn1a_sg4	20	+	29098801	29098798	29098804
chr17	29099363	29099423	Cdkn1a_sg1	20	-	29099393	29099390	29099396
chr17	29099369	29099429	Cdkn1a_sg2	20	+	29099399	29099396	29099402
chr17	33952104	33952164	Rps18_sg1	20	+	33952134	33952131	33952137
chr17	33952188	33952248	Rps18_sg2	20	-	33952218	33952215	33952221
chr17	33952195	33952255	Rps18_sg5	20	-	33952225	33952222	33952228
chr17	33952238	33952298	Rps18_sg4	20	+	33952268	33952265	33952271
chr17	33952295	33952355	Rps18_sg3	20	+	33952325	33952322	33952328
chr18	34290109	34290169	Apc_sg1	20	+	34290139	34290136	34290142
chr18	34290160	34290220	Apc_sg2	20	-	34290190	34290187	34290193
chr18	34296047	34296107	Apc_sg5	20	+	34296077	34296074	34296080
chr18	34298606	34298666	Apc_sg3	20	-	34298636	34298633	34298639
chr18	34298625	34298685	Apc_sg4	20	-	34298655	34298652	34298658
chr18	73649767	73649827	Smad4_sg5	20	-	73649797	73649794	73649800
chr18	73649805	73649865	Smad4_sg4	20	+	73649835	73649832	73649838
chr18	73649855	73649915	Smad4_sg1	20	+	73649885	73649882	73649888
chr18	73649871	73649931	Smad4_sg2	20	+	73649901	73649898	73649904
chr18	73657184	73657244	Smad4_sg3	20	+	73657214	73657211	73657217
chr19	32811663	32811723	Pten_sg5	20	-	32811693	32811690	32811696
chr19	32815449	32815509	Pten_sg3	20	-	32815479	32815476	32815482
chr19	32817851	32817911	Pten_sg4	20	+	32817881	32817878	32817884
chr19	32819890	32819950	Pten_sg1	20	-	32819920	32819917	32819923
chr19	32819962	32820022	Pten_sg2	20	-	32819992	32819989	32819995
chr2	9858380	9858440	Gata3_sg2	20	+	9858410	9858407	9858413
chr2	9858385	9858445	Gata3_sg1	20	+	9858415	9858412	9858418
chr2	9863101	9863161	Gata3_sg3	20	+	9863131	9863128	9863134
chr2	9863108	9863168	Gata3_sg4	20	-	9863138	9863135	9863141
chr2	9868832	9868892	Gata3_sg5	20	+	9868862	9868859	9868865
chr2	26479473	26479533	Notch1_sg2	20	+	26479503	26479500	26479506
chr2	26479530	26479590	Notch1_sg1	20	+	26479560	26479557	26479563
chr2	26480007	26480067	Notch1_sg4	20	-	26480037	26480034	26480040
chr2	26480038	26480098	Notch1_sg3	20	+	26480068	26480065	26480071
chr2	26480213	26480273	Notch1_sg5	20	+	26480243	26480240	26480246
chr2	122147705	122147765	B2m_sg5	20	+	122147735	122147732	122147738
chr2	122151032	122151092	B2m_sg2	20	-	122151062	122151059	122151065
chr2	122151052	122151112	B2m_sg4	20	-	122151082	122151079	122151085
chr2	122151094	122151154	B2m_sg1	20	-	122151124	122151121	122151127
chr2	122151116	122151176	B2m_sg3	20	+	122151146	122151143	122151149
chr2	132249872	132249932	Pcna_sg4	20	-	132249902	132249899	132249905
chr2	132249878	132249938	Pcna_sg5	20	+	132249908	132249905	132249911
chr2	132251203	132251263	Pcna_sg1	20	-	132251233	132251230	132251236
chr2	132251205	132251265	Pcna_sg2	20	-	132251235	132251232	132251238
chr2	132251973	132252033	Pcna_sg3	20	+	132252003	132252000	132252006
chr3	84967438	84967498	Fbxw7_sg2	20	-	84967468	84967465	84967471
chr3	84967445	84967505	Fbxw7_sg1	20	-	84967475	84967472	84967478
chr3	84970760	84970820	Fbxw7_sg5	20	+	84970790	84970787	84970793
chr3	84972478	84972538	Fbxw7_sg3	20	+	84972508	84972505	84972511
chr3	84972521	84972581	Fbxw7_sg4	20	+	84972551	84972548	84972554
chr3	152218202	152218262	Fubp1_sg5	20	-	152218232	152218229	152218235
chr3	152219680	152219740	Fubp1_sg3	20	-	152219710	152219707	152219713
chr3	152219701	152219761	Fubp1_sg4	20	+	152219731	152219728	152219734
chr3	152219918	152219978	Fubp1_sg2	20	+	152219948	152219945	152219951
chr3	152219976	152220036	Fubp1_sg1	20	+	152220006	152220003	152220009
chr4	89274735	89274795	Cdkn2a_sg1	20	+	89274765	89274762	89274768
chr4	89276647	89276707	Cdkn2a_sg4	20	-	89276677	89276674	89276680
chr4	89276759	89276819	Cdkn2a_sg3	20	-	89276789	89276786	89276792
chr4	89281979	89282039	Cdkn2a_sg2	20	+	89282009	89282006	89282012
chr4	89281979	89282039	Cdkn2a_sg5	20	+	89282009	89282006	89282012
chr4	133693003	133693063	Arid1a_sg2	20	-	133693033	133693030	133693036
chr4	133693096	133693156	Arid1a_sg1	20	-	133693126	133693123	133693129
chr4	133693891	133693951	Arid1a_sg4	20	+	133693921	133693918	133693924
chr4	133694039	133694099	Arid1a_sg3	20	+	133694069	133694066	133694072
chr4	152325881	152325941	Rpl22_sg3	20	+	152325911	152325908	152325914
chr4	152329968	152330028	Rpl22_sg1	20	+	152329998	152329995	152330001
chr4	152330100	152330160	Rpl22_sg2	20	+	152330130	152330127	152330133
chr4	152332359	152332419	Rpl22_sg4	20	+	152332389	152332386	152332392
chr4	152332359	152332419	Rpl22_sg5	20	+	152332389	152332386	152332392
chr5	25289081	25289141	Mll3_sg5	20	+	25289111	25289108	25289114
chr5	25289112	25289172	Mll3_sg3	20	+	25289142	25289139	25289145
chr5	25289148	25289208	Mll3_sg4	20	-	25289178	25289175	25289181
chr5	25385650	25385710	Mll3_sg1	20	+	25385680	25385677	25385683
chr5	25385706	25385766	Mll3_sg2	20	-	25385736	25385733	25385739
chr6	113624173	113624233	Vhl_sg5	20	+	113624203	113624200	113624206
chr6	113628098	113628158	Vhl_sg3	20	-	113628128	113628125	113628131
chr6	113628146	113628206	Vhl_sg4	20	+	113628176	113628173	113628179
chr6	113629474	113629534	Vhl_sg1	20	+	113629504	113629501	113629507
chr6	113629519	113629579	Vhl_sg2	20	+	113629549	113629546	113629552
chr6	134921040	134921100	Cdkn1b_sg3	20	+	134921070	134921067	134921073
chr6	134921205	134921265	Cdkn1b_sg5	20	+	134921235	134921232	134921238
chr6	134921333	134921393	Cdkn1b_sg4	20	+	134921363	134921360	134921366
chr6	134921920	134921980	Cdkn1b_sg2	20	-	134921950	134921947	134921953
chr6	134921989	134922049	Cdkn1b_sg1	20	-	134922019	134922016	134922022
chr7	16497772	16497832	Grlf1_sg1	20	+	16497802	16497799	16497805
chr7	16497993	16498053	Grlf1_sg2	20	+	16498023	16498020	16498026
chr7	16498543	16498603	Grlf1_sg3	20	+	16498573	16498570	16498576
chr7	16511203	16511263	Grlf1_sg4	20	+	16511233	16511230	16511236
chr7	16512427	16512487	Grlf1_sg5	20	-	16512457	16512454	16512460
chr7	24888885	24888945	Rps19_sg3	20	-	24888915	24888912	24888918
chr7	24888893	24888953	Rps19_sg4	20	+	24888923	24888920	24888926
chr7	24888894	24888954	Rps19_sg1	20	+	24888924	24888921	24888927
chr7	24888908	24888968	Rps19_sg2	20	+	24888938	24888935	24888941
chr7	24888972	24889032	Rps19_sg5	20	+	24889002	24888999	24889005
chr7	25286854	25286914	Cic_sg4	20	-	25286884	25286881	25286887
chr7	25286936	25286996	Cic_sg3	20	+	25286966	25286963	25286969
chr7	25287175	25287235	Cic_sg5	20	+	25287205	25287202	25287208
chr7	25291077	25291137	Cic_sg2	20	-	25291107	25291104	25291110
chr7	25291083	25291143	Cic_sg1	20	-	25291113	25291110	25291116
chr7	45122533	45122593	Rps11_sg1	20	-	45122563	45122560	45122566
chr7	45122810	45122870	Rps11_sg4	20	+	45122840	45122837	45122843
chr7	45122879	45122939	Rps11_sg3	20	+	45122909	45122906	45122912
chr7	45122886	45122946	Rps11_sg2	20	-	45122916	45122913	45122919
chr7	45123130	45123190	Rps11_sg5	20	-	45123160	45123157	45123163
chr8	45010426	45010486	Fat1_sg5	20	-	45010456	45010453	45010459
chr8	45013002	45013062	Fat1_sg3	20	-	45013032	45013029	45013035
chr8	45013038	45013098	Fat1_sg4	20	-	45013068	45013065	45013071
chr8	45023139	45023199	Fat1_sg1	20	-	45023169	45023166	45023172
chr8	45024144	45024204	Fat1_sg2	20	+	45024174	45024171	45024177
chr8	105671376	105671436	Ctcf_sg5	20	-	105671406	105671403	105671409
chr8	105674980	105675040	Ctcf_sg1	20	-	105675010	105675007	105675013
chr8	105674998	105675058	Ctcf_sg2	20	+	105675028	105675025	105675031
chr8	105677222	105677282	Ctcf_sg4	20	+	105677252	105677249	105677255
chr8	105677240	105677300	Ctcf_sg3	20	+	105677270	105677267	105677273
chr8	106657700	106657760	Cdh1_sg5	20	-	106657730	106657727	106657733
chr8	106658176	106658236	Cdh1_sg3	20	+	106658206	106658203	106658209
chr8	106658201	106658261	Cdh1_sg4	20	+	106658231	106658228	106658234
chr8	106659581	106659641	Cdh1_sg2	20	+	106659611	106659608	106659614
chr8	106659746	106659806	Cdh1_sg1	20	+	106659776	106659773	106659779
chr8	110835537	110835597	Sf3b3_sg2	20	+	110835567	110835564	110835570
chr8	110835619	110835679	Sf3b3_sg1	20	+	110835649	110835646	110835652
chr8	110835682	110835742	Sf3b3_sg3	20	+	110835712	110835709	110835715
chr8	110835683	110835743	Sf3b3_sg4	20	+	110835713	110835710	110835716
chr8	110837345	110837405	Sf3b3_sg5	20	+	110837375	110837372	110837378
chr9	53518477	53518537	Atm_sg1	20	-	53518507	53518504	53518510
chr9	53518572	53518632	Atm_sg2	20	+	53518602	53518599	53518605
chr9	53520108	53520168	Atm_sg3	20	-	53520138	53520135	53520141
chr9	53522135	53522195	Atm_sg4	20	+	53522165	53522162	53522168
chr9	53522208	53522268	Atm_sg5	20	+	53522238	53522235	53522241
chr9	110564537	110564597	Setd2_sg2	20	+	110564567	110564564	110564570
chr9	110564559	110564619	Setd2_sg1	20	+	110564589	110564586	110564592
chr9	110564632	110564692	Setd2_sg4	20	+	110564662	110564659	110564665
chr9	110569681	110569741	Setd2_sg3	20	+	110569711	110569708	110569714
chr9	110572011	110572071	Setd2_sg5	20	-	110572041	110572038	110572044
chr9	116090433	116090493	Tgfbr2_sg2	20	-	116090463	116090460	116090466
chr9	116090538	116090598	Tgfbr2_sg1	20	+	116090568	116090565	116090571
chr9	116092933	116092993	Tgfbr2_sg4	20	-	116092963	116092960	116092966
chr9	116092958	116093018	Tgfbr2_sg3	20	-	116092988	116092985	116092991
chr9	116105147	116105207	Tgfbr2_sg5	20	-	116105177	116105174	116105180
chrX	12047487	12047547	Bcor_sg2	20	+	12047517	12047514	12047520
chrX	12047686	12047746	Bcor_sg1	20	+	12047716	12047713	12047719
chrX	12048392	12048452	Bcor_sg4	20	-	12048422	12048419	12048425
chrX	12048401	12048461	Bcor_sg3	20	+	12048431	12048428	12048434
chrX	12049111	12049171	Bcor_sg5	20	+	12049141	12049138	12049144
chrX	18222743	18222803	Kdm6a_sg5	20	+	18222773	18222770	18222776
chrX	18233842	18233902	Kdm6a_sg4	20	+	18233872	18233869	18233875
chrX	18236666	18236726	Kdm6a_sg3	20	-	18236696	18236693	18236699
chrX	18236667	18236727	Kdm6a_sg2	20	-	18236697	18236694	18236700
chrX	18238899	18238959	Kdm6a_sg1	20	+	18238929	18238926	18238932
chrX	42223235	42223295	Stag2_sg5	20	-	42223265	42223262	42223268
chrX	42223241	42223301	Stag2_sg4	20	+	42223271	42223268	42223274
chrX	42224924	42224984	Stag2_sg3	20	+	42224954	42224951	42224957
chrX	42224994	42225054	Stag2_sg2	20	+	42225024	42225021	42225027
chrX	42226827	42226887	Stag2_sg1	20	+	42226857	42226854	42226860
chrX	105875272	105875332	Atrx_sg1	20	+	105875302	105875299	105875305
chrX	105875771	105875831	Atrx_sg2	20	+	105875801	105875798	105875804
chrX	105878360	105878420	Atrx_sg3	20	-	105878390	105878387	105878393
chrX	105884338	105884398	Atrx_sg4	20	-	105884368	105884365	105884371
chrX	105887820	105887880	Atrx_sg5	20	+	105887850	105887847	105887853
chrX	152245173	152245233	Kdm5c_sg5	20	+	152245203	152245200	152245206
chrX	152246253	152246313	Kdm5c_sg4	20	+	152246283	152246280	152246286
chrX	152246259	152246319	Kdm5c_sg3	20	-	152246289	152246286	152246292
chrX	152248446	152248506	Kdm5c_sg1	20	-	152248476	152248473	152248479
chrX	152248530	152248590	Kdm5c_sg2	20	+	152248560	152248557	152248563
