sample	MouseID	Tissue	Type	Treatment
Sample_P1F3	mTSG-N3R	Lung Met	TBG-mTSG	anti-CTLA4
Sample_P1F4	mTSG-N3R	Pancreatic 	TBG-mTSG	anti-CTLA4
Sample_P1F5	mTSG-N3LR	Lobe_1	TBG-mTSG	PBS
Sample_P1F6	mTSG-N3LR	Lobe_2	TBG-mTSG	PBS
Sample_P1F7	mTSG-N3LR	Lobe_3a	TBG-mTSG	PBS
Sample_P1F8	mTSG-N3LR	lobe_3b	TBG-mTSG	PBS
Sample_P1F9	mTSG-N3LR	lobe_4	TBG-mTSG	PBS
Sample_P1G1	mTSG-N3LR	Lung Met	TBG-mTSG	PBS
Sample_P1G10	mTSG-N3LL	Lung Met	TBG-mTSG	PBS
Sample_P1G11	mTSG-N3NC	Lobe_1	TBG-mTSG	anti-PC
Sample_P1G12	mTSG-N3NC	Lobe_2	TBG-mTSG	anti-PC
Sample_P1G2	mTSG-N3LL	Lobe_1	TBG-mTSG	PBS
Sample_P1G3	mTSG-N3LL	Lobe_2	TBG-mTSG	PBS
Sample_P1G4	mTSG-N3LL	Lobe_3a	TBG-mTSG	PBS
Sample_P1G5	mTSG-N3LL	lobe_3b	TBG-mTSG	PBS
Sample_P1G6	mTSG-N3LL	lobe_4	TBG-mTSG	PBS
Sample_P1G7	mTSG-N3LL	lobe_5	TBG-mTSG	PBS
Sample_P1G8	mTSG-N3LL	lobe_6	TBG-mTSG	PBS
Sample_P1G9	mTSG-N3LL	ab-Met	TBG-mTSG	PBS
Sample_P1H1	mTSG-N3NC	Lobe_3	TBG-mTSG	anti-PC
Sample_P1H10	mTSG-N4L	lobe_4	TBG-mTSG	anti-PD1
Sample_P1H11	mTSG-N4L	lobe_5	TBG-mTSG	anti-PD1
Sample_P1H12	mTSG-N4L	lobe_6	TBG-mTSG	anti-PD1
Sample_P1H2	mTSG-N3NC	lobe_4	TBG-mTSG	anti-PC
Sample_P1H3	mTSG-N3NC	lobe_5	TBG-mTSG	anti-PC
Sample_P1H4	mTSG-N3NC	lobe_6	TBG-mTSG	anti-PC
Sample_P1H5	mTSG-N3NC	Chest	TBG-mTSG	anti-PC
Sample_P1H6	mTSG-N3NC	Pancreatic 	TBG-mTSG	anti-PC
Sample_P1H7	mTSG-N4L	Lobe_1	TBG-mTSG	anti-PD1
Sample_P1H8	mTSG-N4L	Lobe_2	TBG-mTSG	anti-PD1
Sample_P1H9	mTSG-N4L	Lobe_3	TBG-mTSG	anti-PD1
Sample_P2A1	mTSG-N4R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_P2A10	mTSG-N4LR	Lobe_2	TBG-mTSG	anti-PC
Sample_P2A11	mTSG-N4LR	Lobe_3	TBG-mTSG	anti-PC
Sample_P2A12	mTSG-N4LR	lobe_4	TBG-mTSG	anti-PC
Sample_P2A2	mTSG-N4R	Lobe_2	TBG-mTSG	anti-CTLA4
Sample_P2A3	mTSG-N4R	Lobe_3a	TBG-mTSG	anti-CTLA4
Sample_P2A4	mTSG-N4R	lobe_3b	TBG-mTSG	anti-CTLA4
Sample_P2A5	mTSG-N4R	lobe_4	TBG-mTSG	anti-CTLA4
Sample_P2A6	mTSG-N4R	lobe_5	TBG-mTSG	anti-CTLA4
Sample_P2A7	mTSG-N4R	lobe_6	TBG-mTSG	anti-CTLA4
Sample_P2A8	mTSG-N4R	Lung Met	TBG-mTSG	anti-CTLA4
Sample_P2A9	mTSG-N4LR	Lobe_1	TBG-mTSG	anti-PC
Sample_P2B1	mTSG-N4LR	lobe_5	TBG-mTSG	anti-PC
Sample_P2B2	mTSG-N4LL	Lobe_1	TBG-mTSG	PBS
Sample_P2B3	mTSG-N4LL	Lobe_2	TBG-mTSG	PBS
Sample_P2B4	mTSG-N4LL	Lobe_3	TBG-mTSG	PBS
Sample_P2B5	mTSG-N4LL	lobe_4	TBG-mTSG	PBS
Sample_P2B6	mTSG-N4LL	lobe_5-6	TBG-mTSG	PBS
Sample_P2B7	mTSG-N4LL	Lung Met	TBG-mTSG	PBS
Sample_P2C10	mTSG-N5R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_P2C11	mTSG-N5R	Lobe_2	TBG-mTSG	anti-CTLA4
Sample_P2C12	mTSG-N5R	Lobe_3	TBG-mTSG	anti-CTLA4
Sample_P2C5	mTSG-N5L	Lobe_1-2	TBG-mTSG	anti-PD1
Sample_P2C6	mTSG-N5L	Lobe_3	TBG-mTSG	anti-PD1
Sample_P2C7	mTSG-N5L	lobe_4	TBG-mTSG	anti-PD1
Sample_P2C8	mTSG-N5L	lobe_6	TBG-mTSG	anti-PD1
Sample_P2C9	mTSG-N5L	Lung Met	TBG-mTSG	anti-PD1
Sample_P2D1	mTSG-N5R	lobe_4	TBG-mTSG	anti-CTLA4
Sample_P2D10	mTSG-N5NC	lobe_5	TBG-mTSG	anti-PC
Sample_P2D11	mTSG-N5NC	lobe_6	TBG-mTSG	anti-PC
Sample_P2D12	mTSG-N5NC	ab-Met	TBG-mTSG	anti-PC
Sample_P2D2	mTSG-N5R	lobe_5	TBG-mTSG	anti-CTLA4
Sample_P2D3	mTSG-N5R	lobe_6	TBG-mTSG	anti-CTLA4
Sample_P2D4	mTSG-N5R	Lung Met	TBG-mTSG	anti-CTLA4
Sample_P2D5	mTSG-N5R?	ab-Met	TBG-mTSG	anti-CTLA4
Sample_P2D6	mTSG-N5NC	Lobe_1	TBG-mTSG	anti-PC
Sample_P2D7	mTSG-N5NC	Lobe_2	TBG-mTSG	anti-PC
Sample_P2D8	mTSG-N5NC	lobe_3b	TBG-mTSG	anti-PC
Sample_P2D9	mTSG-N5NC	lobe_4	TBG-mTSG	anti-PC
Sample_P2E1	mTSG-N5NC	Lung Met	TBG-mTSG	anti-PC
Sample_P2E2	pWG02-N1L	lobes	Vector	PBS
Sample_P2E3	pWG02-N1R	lobes	Vector	PBS
Sample_P2E4	pWG02-N1LR	lobes	Vector	PBS
Sample_P2E5	pWG02-N1LL	lobes	Vector	PBS
Sample_P2E6	pWG02-N1NC	lobes	Vector	PBS
Sample_GmT3_001	mTSG-N6LR	Lobe_1	TBG-mTSG	anti-PC
Sample_GmT3_002	mTSG-N6LR	Lobe_2	TBG-mTSG	anti-PC
Sample_GmT3_003	mTSG-N6LR	Lobe_3a	TBG-mTSG	anti-PC
Sample_GmT3_004	mTSG-N6LR	lobe_3b	TBG-mTSG	anti-PC
Sample_GmT3_005	mTSG-N6LR	lobe_4-5	TBG-mTSG	anti-PC
Sample_GmT3_006	mTSG-N6LR	lobe_6	TBG-mTSG	anti-PC
Sample_GmT3_007	mTSG-N6LR	Lung-MET	TBG-mTSG	anti-PC
Sample_GmT3_008	mTSG-N6LL	Lobe_1	TBG-mTSG	PBS
Sample_GmT3_009	mTSG-N6LL	Lobe_3	TBG-mTSG	PBS
Sample_GmT3_010	mTSG-N6LL	lobe_4-5	TBG-mTSG	PBS
Sample_GmT3_011	mTSG-N6LL	lobe_6	TBG-mTSG	PBS
Sample_GmT3_012	mTSG-N6LL	AbMET	TBG-mTSG	PBS
Sample_GmT3_013	mTSG-N6LL	Lung-MET	TBG-mTSG	PBS
Sample_GmT3_014	mTSG-N6NC	Lobe_1	TBG-mTSG	PBS
Sample_GmT3_015	mTSG-N6NC	Lobe_2	TBG-mTSG	PBS
Sample_GmT3_016	mTSG-N6NC	Lobe_3	TBG-mTSG	PBS
Sample_GmT3_017	mTSG-N6NC	lobe_4	TBG-mTSG	PBS
Sample_GmT3_018	mTSG-N6NC	lobe_5	TBG-mTSG	PBS
Sample_GmT3_019	mTSG-N6NC	lobe_6	TBG-mTSG	PBS
Sample_GmT3_020	mTSG-N6NC	Lung-MET	TBG-mTSG	PBS
Sample_GmT3_021	mTSG-N7L	Lobe_1	TBG-mTSG	anti-PD1
Sample_GmT3_022	mTSG-N7L	Lobe_3a	TBG-mTSG	anti-PD1
Sample_GmT3_023	mTSG-N7L	lobe_3b	TBG-mTSG	anti-PD1
Sample_GmT3_024	mTSG-N7L	lobe_4-5	TBG-mTSG	anti-PD1
Sample_GmT3_025	mTSG-N7L	lobe_6	TBG-mTSG	anti-PD1
Sample_GmT3_026	mTSG-N7L	lung-MET	TBG-mTSG	anti-PD1
Sample_GmT3_027	mTSG-N7R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_GmT3_028	mTSG-N7R	Lobe_3a	TBG-mTSG	anti-CTLA4
Sample_GmT3_029	mTSG-N7R	lobe_3b	TBG-mTSG	anti-CTLA4
Sample_GmT3_030	mTSG-N7R	lobe_4	TBG-mTSG	anti-CTLA4
Sample_GmT3_031	mTSG-N7R	lobe_5	TBG-mTSG	anti-CTLA4
Sample_GmT3_032	mTSG-N7R	lobe_6	TBG-mTSG	anti-CTLA4
Sample_GmT3_033	mTSG-N7LR	Lobe_1	TBG-mTSG	anti-PC
Sample_GmT3_034	mTSG-N7LR	Lobe_3a	TBG-mTSG	anti-PC
Sample_GmT3_035	mTSG-N7LR	lobe_3b	TBG-mTSG	anti-PC
Sample_GmT3_036	mTSG-N7LR	lobe_4-5	TBG-mTSG	anti-PC
Sample_GmT3_037	mTSG-N7LR	lobe_6	TBG-mTSG	anti-PC
Sample_GmT3_038	mTSG-N7LR	AbMET	TBG-mTSG	anti-PC
Sample_GmT3_039	mTSG-N7LR	Lung-MET	TBG-mTSG	anti-PC
Sample_GmT3_040	mTSG-N7NC	Lobe_1	TBG-mTSG	PBS
Sample_GmT3_041	mTSG-N7NC	Lobe_3a	TBG-mTSG	PBS
Sample_GmT3_042	mTSG-N7NC	lobe_3b	TBG-mTSG	PBS
Sample_GmT3_043	mTSG-N7NC	lobe_4	TBG-mTSG	PBS
Sample_GmT3_044	mTSG-N7NC	lobe_5	TBG-mTSG	PBS
Sample_GmT3_045	mTSG-N7NC	lobe_6	TBG-mTSG	PBS
Sample_GmT3_046	mTSG-N7NC	MET	TBG-mTSG	PBS
Sample_GmT3_047	mTSG-N8L	Lobe_1	TBG-mTSG	anti-PD1
Sample_GmT3_048	mTSG-N8L	Lobe_2	TBG-mTSG	anti-PD1
Sample_GmT3_049	mTSG-N8L	Lobe_3a	TBG-mTSG	anti-PD1
Sample_GmT3_050	mTSG-N8L	lobe_3b	TBG-mTSG	anti-PD1
Sample_GmT3_051	mTSG-N8L	lobe_4	TBG-mTSG	anti-PD1
Sample_GmT3_052	mTSG-N8L	lobe_5	TBG-mTSG	anti-PD1
Sample_GmT3_053	mTSG-N8L	Lung-MET	TBG-mTSG	anti-PD1
Sample_GmT3_054	mTSG-N8R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_GmT3_055	mTSG-N8R	Lobe_2	TBG-mTSG	anti-CTLA4
Sample_GmT3_056	mTSG-N8R	Lobe_3a	TBG-mTSG	anti-CTLA4
Sample_GmT3_057	mTSG-N8R	lobe_3b	TBG-mTSG	anti-CTLA4
Sample_GmT3_058	mTSG-N8R	lobe_4	TBG-mTSG	anti-CTLA4
Sample_GmT3_059	mTSG-N8R	lobe_5	TBG-mTSG	anti-CTLA4
Sample_GmT3_060	mTSG-N8R	Lung-MET	TBG-mTSG	anti-CTLA4
Sample_GmT3_061	mTSG-N8LR	Lobe_1	TBG-mTSG	anti-PC
Sample_GmT3_062	mTSG-N8LR	Lobe_3	TBG-mTSG	anti-PC
Sample_GmT3_063	mTSG-N8LR	lobe_4	TBG-mTSG	anti-PC
Sample_GmT3_064	mTSG-N8LR	lobe_6	TBG-mTSG	anti-PC
Sample_GmT3_065	mTSG-N8LR	Lung-MET	TBG-mTSG	anti-PC
Sample_GmT3_066	mTSG-N8LR	Ab-MET	TBG-mTSG	anti-PC
Sample_GmT3_067	mTSG-N9L	Lobe_1	TBG-mTSG	anti-PD1
Sample_GmT3_068	mTSG-N9L	Lobe_3	TBG-mTSG	anti-PD1
Sample_GmT3_069	mTSG-N9L	lobe_4	TBG-mTSG	anti-PD1
Sample_GmT3_070	mTSG-N9L	lobe_6	TBG-mTSG	anti-PD1
Sample_GmT3_071	mTSG-N9L	Lung-MET	TBG-mTSG	anti-PD1
Sample_GmT3_072	mTSG-N9R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_GmT3_073	mTSG-N9R	Lobe_3a	TBG-mTSG	anti-CTLA4
Sample_GmT3_074	mTSG-N9R	lobe_4-5	TBG-mTSG	anti-CTLA4
Sample_GmT3_075	mTSG-N9R	lobe_6	TBG-mTSG	anti-CTLA4
Sample_GmT3_076	mTSG-N9R	Ab-MET	TBG-mTSG	anti-CTLA4
Sample_GmT3_077	mTSG-N9R	Lung-MET	TBG-mTSG	anti-CTLA4
Sample_GmT3_078	mTSG-N9LR	Lobe_1	TBG-mTSG	anti-PC
Sample_GmT3_079	mTSG-N9LR	Lobe_2	TBG-mTSG	anti-PC
Sample_GmT3_080	mTSG-N9LR	Lobe_3	TBG-mTSG	anti-PC
Sample_GmT3_081	mTSG-N9LR	lobe_4	TBG-mTSG	anti-PC
Sample_GmT3_082	mTSG-N9LR	lobe_6	TBG-mTSG	anti-PC
Sample_GmT3_083	mTSG-N9LR	Lung-MET	TBG-mTSG	anti-PC
Sample_GmT3_084	mTSG-N10L	Lobe_1	TBG-mTSG	anti-PD1
Sample_GmT3_085	mTSG-N10L	Lobe_2	TBG-mTSG	anti-PD1
Sample_GmT3_086	mTSG-N10L	Lobe_3a	TBG-mTSG	anti-PD1
Sample_GmT3_087	mTSG-N10L	lobe_4	TBG-mTSG	anti-PD1
Sample_GmT3_088	mTSG-N10L	lobe_5	TBG-mTSG	anti-PD1
Sample_GmT3_089	mTSG-N10L	lobe_6	TBG-mTSG	anti-PD1
Sample_GmT3_090	mTSG-N10L	Lung-MET	TBG-mTSG	anti-PD1
Sample_GmT3_091	mTSG-N10R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_GmT3_092	mTSG-N10R	Lobe_2	TBG-mTSG	anti-CTLA4
Sample_GmT3_093	mTSG-N10R	Lobe_3	TBG-mTSG	anti-CTLA4
Sample_GmT3_094	mTSG-N10R	lobe_4-5	TBG-mTSG	anti-CTLA4
Sample_GmT3_095	mTSG-N10R	lobe_6	TBG-mTSG	anti-CTLA4
Sample_GmT3_096	mTSG-N10R	Lung-MET	TBG-mTSG	anti-CTLA4
Sample_GmT3_097	mTSG-N10LR	Lobe_1	TBG-mTSG	anti-PC
Sample_GmT3_098	mTSG-N10LR	Lobe_3	TBG-mTSG	anti-PC
Sample_GmT3_099	mTSG-N10LR	lobe_4	TBG-mTSG	anti-PC
Sample_GmT3_100	mTSG-N10LR	lobe_5	TBG-mTSG	anti-PC
Sample_GmT3_101	mTSG-N10LR	lobe_6	TBG-mTSG	anti-PC
Sample_GmT3_102	mTSG-N10LR	lobe_6b	TBG-mTSG	anti-PC
Sample_GmT3_103	mTSG-N10LR	Lung-MET	TBG-mTSG	anti-PC
Sample_GmT3_104	mTSG-N10NC	Lobe_1	TBG-mTSG	PBS
Sample_GmT3_105	mTSG-N10NC	Lobe_3	TBG-mTSG	PBS
Sample_GmT3_106	mTSG-N10NC	lobe_4	TBG-mTSG	PBS
Sample_GmT3_107	mTSG-N10NC	lobe_5	TBG-mTSG	PBS
Sample_GmT3_108	mTSG-N10NC	lobe_6	TBG-mTSG	PBS
Sample_GmT3_109	mTSG-N10NC	Lung-MET	TBG-mTSG	PBS
Sample_GmT3_110	mTSG-N10NC	Ab-MET	TBG-mTSG	PBS
Sample_GmT3_111	mTSG-N11L	Lobe_1-2	TBG-mTSG	anti-PD1
Sample_GmT3_112	mTSG-N11L	"Lobe_3,6"	TBG-mTSG	anti-PD1
Sample_GmT3_113	mTSG-N11R	Lung-MET	TBG-mTSG	anti-CTLA4
Sample_GmT3_114	mTSG-N11R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_GmT3_115	mTSG-N11R	Lobe_2	TBG-mTSG	anti-CTLA4
Sample_GmT3_116	mTSG-N11R	Lobe_3	TBG-mTSG	anti-CTLA4
Sample_GmT3_117	mTSG-N11R	lobe_5	TBG-mTSG	anti-CTLA4
Sample_GmT3_118	mTSG-N11R	lobe_6	TBG-mTSG	anti-CTLA4
Sample_GmT3_119	mTSG-N11R	Lung-MET	TBG-mTSG	anti-CTLA4
Sample_GmT3_120	mTSG-N11LR	Lobe_1	TBG-mTSG	anti-PC
Sample_GmT3_121	mTSG-N11LR	Lobe_2	TBG-mTSG	anti-PC
Sample_GmT3_122	mTSG-N11LR	Lobe_3	TBG-mTSG	anti-PC
Sample_GmT3_123	mTSG-N11LR	lobe_4-5	TBG-mTSG	anti-PC
Sample_GmT3_124	mTSG-N11LR	lobe_6	TBG-mTSG	anti-PC
Sample_GmT3_125	mTSG-N11LR	Lung-MET	TBG-mTSG	anti-PC
Sample_GmT3_126	mTSG-N11LR	Ab-MET	TBG-mTSG	anti-PC
Sample_GmT3_127	mTSG-N11NC	Lobe_1	TBG-mTSG	PBS
Sample_GmT3_128	mTSG-N11NC	Lobe_3a	TBG-mTSG	PBS
Sample_GmT3_129	mTSG-N11NC	lobe_3b	TBG-mTSG	PBS
Sample_GmT3_130	mTSG-N11NC	lobe_4	TBG-mTSG	PBS
Sample_GmT3_131	mTSG-N11NC	lobe_5	TBG-mTSG	PBS
Sample_GmT3_132	mTSG-N11NC	lobe_6	TBG-mTSG	PBS
Sample_GmT3_133	mTSG-N11NC	Ab-MET	TBG-mTSG	PBS
Sample_GmT3_134	mTSG-N11NC	Lung-MET	TBG-mTSG	PBS
Sample_GmT3_135	mTSG-N12L	Lobe_1-2	TBG-mTSG	anti-PD1
Sample_GmT3_136	mTSG-N12L	Lobe_4-6	TBG-mTSG	anti-PD1
Sample_GmT3_137	mTSG-N12R	lobe_1-2	TBG-mTSG	anti-CTLA4
Sample_GmT3_138	mTSG-N12R	lobe_4-6	TBG-mTSG	anti-CTLA4
Sample_GmT3_139	mTSG-R1L	lobe_4-6	TBG-mTSG	"Rag1-/-, Cas9"
Sample_GmT3_140	mTSG-R1L	Lung-MET	TBG-mTSG	"Rag1-/-, Cas9"
Sample_GmT3_141	mTSG-R2L	Pancreas	TBG-mTSG	"Rag1-/-, Cas9"
Sample_GmT3_142	mTSG-R2L	Liver	TBG-mTSG	"Rag1-/-, Cas9"
Sample_GmT3_143	mTSG-R2L	Lung	TBG-mTSG	"Rag1-/-, Cas9"
Sample_GmT3_144	mTSG-R2NC	Liver	TBG-mTSG	"Rag1-/-, Cas9"
Sample_GmT3_145	mTSG-R2NC	Lung	TBG-mTSG	"Rag1-/-, Cas9"
Sample_GmT3_146	mTSG-N11R	lobe4	TBG-mTSG	anti-PC
Sample_GmT3_147	mTSG-N6L	Lobe_1	TBG-mTSG	anti-PD1
Sample_GmT3_148	mTSG-N6L	Lobe_2	TBG-mTSG	anti-PD1
Sample_GmT3_149	mTSG-N6L	lobe_4	TBG-mTSG	anti-PD1
Sample_GmT3_150	mTSG-N6L	lobe_5	TBG-mTSG	anti-PD1
Sample_GmT3_151	mTSG-N6L	lobe_6	TBG-mTSG	anti-PD1
Sample_GmT3_152	mTSG-N6L	lung-MET	TBG-mTSG	anti-PD1
Sample_GmT3_153	mTSG-N6R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_GmT3_154	mTSG-N6R	Lobe_3	TBG-mTSG	anti-CTLA4
Sample_GmT3_155	mTSG-N6R	lobe_4-5	TBG-mTSG	anti-CTLA4
Sample_GmT3_156	mTSG-N6R	lobe_6	TBG-mTSG	anti-CTLA4
Sample_GmT3_157	mTSG-N6R	Lung	TBG-mTSG	anti-CTLA4
Sample_GmT3_158	mTSG-R2NC	Liver	TBG-mTSG	"Rag1-/-, Cas9"
Sample_GmT3_159	mTSG-R2NC	Lung	TBG-mTSG	"Rag1-/-, Cas9"
Sample_GmT3_160	mTSG-R2NC	SPLEEN	TBG-mTSG	"Rag1-/-, Cas9"
